"heat_source","hour","heat_supply","heat_drain"
"electricity",389.00,0.00,0.00
"electricity",390.00,0.00,0.00
"electricity",391.00,0.00,0.00
"electricity",392.00,0.00,0.00
"electricity",393.00,0.00,0.00
"electricity",394.00,0.00,0.00
"electricity",395.00,0.00,0.00
"electricity",396.00,0.00,0.00
"electricity",397.00,0.00,0.00
"electricity",398.00,0.00,0.00
"electricity",399.00,0.00,0.00
"electricity",400.00,0.00,0.00
"electricity",401.00,0.00,0.00
"electricity",402.00,0.00,0.00
"electricity",403.00,0.00,0.00
"electricity",404.00,0.00,0.00
"electricity",405.00,0.00,0.00
"electricity",406.00,0.00,0.00
"electricity",407.00,0.00,0.00
"electricity",408.00,0.00,0.00
"electricity",409.00,0.00,0.00
"electricity",410.00,0.00,0.00
"electricity",411.00,0.00,0.00
"electricity",412.00,0.00,0.00
"electricity",413.00,0.00,0.00
"electricity",414.00,0.00,0.00
"electricity",415.00,0.00,0.00
"electricity",416.00,0.00,0.00
"electricity",417.00,0.00,0.00
"electricity",418.00,0.00,0.00
"electricity",419.00,0.00,0.00
"electricity",420.00,0.00,0.00
"electricity",421.00,0.00,0.00
"electricity",422.00,0.00,0.00
"electricity",423.00,0.00,0.00
"electricity",424.00,0.00,0.00
"electricity",425.00,0.00,0.00
"electricity",426.00,0.00,0.00
"electricity",427.00,0.00,0.00
"electricity",428.00,0.00,0.00
"electricity",429.00,0.00,0.00
"electricity",430.00,0.00,0.00
"electricity",431.00,0.00,0.00
"electricity",432.00,0.00,0.00
"electricity",433.00,0.00,0.00
"electricity",434.00,0.00,0.00
"electricity",435.00,0.00,0.00
"electricity",436.00,0.00,0.00
"electricity",437.00,0.00,0.00
"electricity",438.00,0.00,0.00
"electricity",439.00,0.00,0.00
"electricity",440.00,0.00,0.00
"electricity",441.00,0.00,0.00
"electricity",442.00,0.00,0.00
"electricity",443.00,0.00,0.00
"electricity",444.00,0.00,0.00
"electricity",445.00,0.00,0.00
"electricity",446.00,0.00,0.00
"electricity",447.00,0.00,0.00
"electricity",448.00,0.00,0.00
"electricity",449.00,0.00,0.00
"electricity",450.00,0.00,0.00
"electricity",451.00,0.00,0.00
"electricity",452.00,0.00,0.00
"electricity",453.00,0.00,0.00
"electricity",454.00,0.00,0.00
"electricity",455.00,0.00,0.00
"electricity",456.00,0.00,0.00
"electricity",457.00,0.00,0.00
"electricity",458.00,0.00,0.00
"electricity",459.00,0.00,0.00
"electricity",460.00,0.00,0.00
"electricity",461.00,0.00,0.00
"electricity",462.00,0.00,0.00
"electricity",463.00,0.00,0.00
"electricity",464.00,0.00,0.00
"electricity",465.00,0.00,0.00
"electricity",466.00,0.00,0.00
"electricity",467.00,0.00,0.00
"electricity",468.00,0.00,0.00
"electricity",469.00,0.00,0.00
"electricity",470.00,0.00,0.00
"electricity",471.00,0.00,0.00
"electricity",472.00,0.00,0.00
"electricity",473.00,0.00,0.00
"electricity",474.00,0.00,0.00
"electricity",475.00,0.00,0.00
"electricity",476.00,0.00,0.00
"electricity",477.00,0.00,0.00
"electricity",478.00,0.00,0.00
"electricity",479.00,0.00,0.00
"electricity",480.00,0.00,0.00
"electricity",481.00,0.00,0.00
"electricity",482.00,0.00,0.00
"electricity",483.00,0.00,0.00
"electricity",484.00,0.00,0.00
"electricity",485.00,0.00,0.00
"electricity",486.00,0.00,0.00
"electricity",487.00,0.00,0.00
